noisePercent,tool,toolLabel,cancerType,sampleCount,rawExposureCosineMean,rawExposureCosineSd,rawExposureCosineMedian,rawExposureCosineQ1,rawExposureCosineQ3,rawExposureCosineMin,rawExposureCosineMax,precisionMean,precisionSd,precisionMedian,precisionQ1,precisionQ3,precisionMin,precisionMax,recallMean,recallSd,recallMedian,recallQ1,recallQ3,recallMin,recallMax,f1Mean,f1Sd,f1Median,f1Q1,f1Q3,f1Min,f1Max,pooledTruePositiveCount,pooledFalsePositiveCount,pooledFalseNegativeCount,pooledPrecision,pooledRecall,pooledF1
0,deconstructsigs,deconstructSigs,SP.Syn.Bladder-TCC,300,0.988475,0.025736,0.999585,0.993653,0.999993,0.82699,1,0.779392,0.279387,1,0.571429,1,0.214286,1,0.889889,0.146752,1,0.75,1,0.5,1,0.811787,0.226705,1,0.653846,1,0.333333,1,1122,577,147,0.660388,0.884161,0.756065
0,deconstructsigs,deconstructSigs,SP.Syn.Bone-Osteosarc,300,0.996111,0.010405,0.999869,0.996906,0.999987,0.907689,1,0.842669,0.247728,1,0.625,1,0.142857,1,0.855956,0.201646,1,0.75,1,0.25,1,0.840499,0.223338,1,0.666667,1,0.181818,1,1189,312,212,0.792139,0.84868,0.819435
0,deconstructsigs,deconstructSigs,SP.Syn.Breast-AdenoCA,300,0.994148,0.018881,0.99987,0.997603,0.999996,0.845987,1,0.879649,0.222524,1,0.8,1,0.166667,1,0.913929,0.140865,1,0.8,1,0.4,1,0.883874,0.181403,1,0.857143,1,0.235294,1,1299,314,131,0.805332,0.908392,0.853763
0,deconstructsigs,deconstructSigs,SP.Syn.Cervix-AdenoCA,300,0.999931,0.000321,0.999996,0.999995,0.999998,0.996455,0.999999,0.996111,0.03955,1,1,1,0.5,1,1,0,1,1,1,1,1,0.997556,0.025163,1,1,1,0.666667,1,600,4,0,0.993377,1,0.996678
0,deconstructsigs,deconstructSigs,SP.Syn.Eso-AdenoCA,300,0.995475,0.013176,0.999958,0.998301,0.999996,0.887035,1,0.88626,0.213629,1,0.85119,1,0.2,1,0.888325,0.162556,1,0.8,1,0.166667,1,0.879845,0.188261,1,0.8,1,0.222222,1,1487,298,198,0.833053,0.882493,0.857061
0,deconstructsigs,deconstructSigs,SP.Syn.Kidney-RCC,300,0.998373,0.003268,0.99999,0.997977,0.999997,0.977915,1,0.812944,0.280888,1,0.5,1,0.142857,1,0.840056,0.24015,1,0.666667,1,0.25,1,0.821964,0.261552,1,0.571429,1,0.2,1,816,237,157,0.774929,0.838643,0.805528
0,deconstructsigs,deconstructSigs,SP.Syn.Lung-SCC,300,0.996357,0.010192,0.999795,0.998277,0.999997,0.916265,1,0.867415,0.233239,1,0.75,1,0.2,1,0.835444,0.122994,0.8,0.75,1,0.4,1,0.835387,0.173184,0.888889,0.75,1,0.315789,1,1090,333,227,0.765987,0.827639,0.79562
0,deconstructsigs,deconstructSigs,SP.Syn.Ovary-AdenoCA,300,0.99819,0.007223,0.999995,0.999927,0.999998,0.904945,1,0.934493,0.180702,1,1,1,0.166667,1,0.952214,0.126239,1,1,1,0.333333,1,0.939583,0.15697,1,1,1,0.222222,1,1257,144,69,0.897216,0.947964,0.921892
0,deconstructsigs,deconstructSigs,SP.Syn.Stomach-AdenoCA,300,0.996714,0.01883,0.999861,0.999066,0.999992,0.69584,1,0.891734,0.188936,1,0.8,1,0.214286,1,0.785865,0.198764,0.8,0.666667,1,0.142857,1,0.818946,0.182625,0.888889,0.702381,1,0.25,1,1290,227,382,0.850363,0.771531,0.809031
0,sigminer,sigminer,SP.Syn.Bladder-TCC,300,0.999994,0.000019,0.999999,0.999995,1,0.999707,1,1,0,1,1,1,1,1,0.9735,0.07385,1,1,1,0.666667,1,0.985009,0.041916,1,1,1,0.8,1,1234,0,35,1,0.972419,0.986017
